fpr,tpr,mr,filename
0.060647,0.745756,0.739637,hokuyo_1_hector_mapping__map_resolution_0.05_map_size_192_map_update_distance_thresh_0.4_map_update_angle_thresh_1.3.pgm,gt_wallthickness_34_resolution_0.025.png
0.082882,0.869151,0.780260,hokuyo_1_gmapping__particles_50_minimumScore_0.01_map_update_interval_2.0_delta_0.1.pgm,gt_wallthickness_39_resolution_0.05.png
0.085356,0.893691,0.741453,hokuyo_1_gmapping__particles_20_minimumScore_0.3_map_update_interval_5.0_delta_0.1.pgm,gt_wallthickness_37_resolution_0.025.png
0.041024,0.841186,0.632270,sick_1_hector_mapping__map_resolution_0.05_map_size_192_map_update_distance_thresh_0.4_map_update_angle_thresh_0.9.pgm,gt_wallthickness_11_resolution_0.025.png
0.004512,0.726846,0.973246,sick_1_gmapping__particles_20_minimumScore_0.01_map_update_interval_8_delta_0.05.pgm,gt_wallthickness_34_resolution_0.025.png
0.110020,0.873234,0.632131,hokuyo_1_gmapping__particles_50_minimumScore_0.0_map_update_interval_2.0_delta_0.1.pgm,gt_wallthickness_33_resolution_0.1.png
0.072826,0.835189,0.794349,hokuyo_1_gmapping__particles_50_minimumScore_0.01_map_update_interval_5.0_delta_0.1.pgm,gt_wallthickness_39_resolution_0.05.png
0.056584,0.642437,0.566116,hokuyo_2_gmapping__particles_20_minimumScore_0.3_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_18_resolution_0.025.png
0.038313,0.542156,0.777673,hokuyo_2_gmapping__particles_20_minimumScore_0.01_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_29_resolution_0.05.png
0.057244,0.787118,0.485849,sick_2_gmapping__particles_50_minimumScore_0.3_map_update_interval_8_delta_0.05.pgm,gt_wallthickness_22_resolution_0.1.png
0.037801,0.850049,0.730221,sick_2_gmapping__particles_20_minimumScore_0.01_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_18_resolution_0.025.png
0.042960,0.754702,0.729442,hokuyo_1_gmapping__particles_20_minimumScore_0.01_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_20_resolution_0.025.png
0.021682,0.614379,0.661196,sick_2_hector_mapping__map_resolution_0.025_map_size_384_map_update_distance_thresh_0.7_map_update_angle_thresh_0.9.pgm,gt_wallthickness_22_resolution_0.1.png
0.063798,0.788173,0.650435,hokuyo_1_gmapping__particles_20_minimumScore_0.0_map_update_interval_5.0_delta_0.05.pgm,gt_wallthickness_20_resolution_0.025.png
0.033366,0.785545,0.781927,sick_2_gmapping__particles_50_minimumScore_0.3_map_update_interval_5.0_delta_0.05.pgm,gt_wallthickness_20_resolution_0.025.png
0.025304,0.696962,0.872432,hokuyo_2_gmapping__particles_50_minimumScore_0.0_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_29_resolution_0.05.png
0.036758,0.681848,0.833314,hokuyo_1_gmapping__particles_50_minimumScore_0.01_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_37_resolution_0.025.png
0.058179,0.913932,0.796424,sick_1_hector_mapping__map_resolution_0.1_map_size_96_map_update_distance_thresh_0.7_map_update_angle_thresh_0.9.pgm,gt_wallthickness_29_resolution_0.05.png
0.046515,0.872131,0.562764,sick_2_gmapping__particles_75_minimumScore_0.3_map_update_interval_8_delta_0.05.pgm,gt_wallthickness_22_resolution_0.1.png
0.057807,0.691118,0.639805,hokuyo_2_gmapping__particles_75_minimumScore_0.01_map_update_interval_8_delta_0.05.pgm,gt_wallthickness_20_resolution_0.025.png
0.028151,0.542831,0.611734,hokuyo_2_gmapping__particles_20_minimumScore_0.3_map_update_interval_2.0_delta_0.025.pgm,gt_wallthickness_11_resolution_0.025.png
0.009190,0.718782,0.930607,sick_1_gmapping__particles_50_minimumScore_0.01_map_update_interval_8_delta_0.05.pgm,gt_wallthickness_26_resolution_0.05.png
0.018475,0.631998,0.755010,sick_1_gmapping__particles_20_minimumScore_0.0_map_update_interval_2.0_delta_0.025.pgm,gt_wallthickness_15_resolution_0.05.png
0.010538,0.677206,0.916718,sick_1_gmapping__particles_20_minimumScore_0.3_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_26_resolution_0.05.png
0.009508,0.478041,0.920075,sick_1_hector_mapping__map_resolution_0.025_map_size_384_map_update_distance_thresh_0.1_map_update_angle_thresh_0.9.pgm,gt_wallthickness_29_resolution_0.05.png
0.063712,0.909260,0.755329,sick_1_hector_mapping__map_resolution_0.1_map_size_96_map_update_distance_thresh_0.7_map_update_angle_thresh_1.3.pgm,gt_wallthickness_33_resolution_0.1.png
0.071942,0.817732,0.572548,hokuyo_1_gmapping__particles_50_minimumScore_0.0_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_18_resolution_0.025.png
0.102437,0.740502,0.587469,hokuyo_2_gmapping__particles_75_minimumScore_0.01_map_update_interval_2.0_delta_0.1.pgm,gt_wallthickness_28_resolution_0.025.png
0.005680,0.573560,0.933675,sick_1_gmapping__particles_50_minimumScore_0.01_map_update_interval_5.0_delta_0.025.pgm,gt_wallthickness_20_resolution_0.025.png
0.042227,0.724450,0.745725,hokuyo_2_gmapping__particles_50_minimumScore_0.3_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_26_resolution_0.05.png
0.043739,0.911353,0.851032,sick_2_gmapping__particles_75_minimumScore_0.0_map_update_interval_5.0_delta_0.1.pgm,gt_wallthickness_37_resolution_0.025.png
0.002209,0.562209,0.975978,sick_1_gmapping__particles_20_minimumScore_0.0_map_update_interval_8_delta_0.025.pgm,gt_wallthickness_26_resolution_0.05.png
0.003852,0.521364,0.966626,sick_1_hector_mapping__map_resolution_0.025_map_size_384_map_update_distance_thresh_0.7_map_update_angle_thresh_0.5.pgm,gt_wallthickness_29_resolution_0.05.png
0.009426,0.554092,0.922259,hokuyo_2_gmapping__particles_75_minimumScore_0.3_map_update_interval_8_delta_0.025.pgm,gt_wallthickness_33_resolution_0.1.png
0.025575,0.912532,0.886469,sick_2_gmapping__particles_75_minimumScore_0.01_map_update_interval_8_delta_0.1.pgm,gt_wallthickness_33_resolution_0.1.png
0.025264,0.751250,0.784503,sick_2_gmapping__particles_75_minimumScore_0.0_map_update_interval_5.0_delta_0.05.pgm,gt_wallthickness_18_resolution_0.025.png
0.128926,0.733786,0.548633,hokuyo_2_gmapping__particles_75_minimumScore_0.0_map_update_interval_8_delta_0.1.pgm,gt_wallthickness_33_resolution_0.1.png
0.012586,0.603524,0.876638,sick_2_gmapping__particles_20_minimumScore_0.3_map_update_interval_8_delta_0.025.pgm,gt_wallthickness_20_resolution_0.025.png
0.054005,0.792923,0.737796,hokuyo_1_hector_mapping__map_resolution_0.05_map_size_192_map_update_distance_thresh_0.7_map_update_angle_thresh_1.3.pgm,gt_wallthickness_28_resolution_0.025.png
0.064391,0.793590,0.681065,hokuyo_1_gmapping__particles_50_minimumScore_0.01_map_update_interval_5.0_delta_0.05.pgm,gt_wallthickness_26_resolution_0.05.png
0.118320,0.790473,0.409396,hokuyo_2_gmapping__particles_20_minimumScore_0.01_map_update_interval_5.0_delta_0.1.pgm,gt_wallthickness_15_resolution_0.05.png
0.075296,0.778939,0.740777,hokuyo_2_gmapping__particles_20_minimumScore_0.3_map_update_interval_2.0_delta_0.1.pgm,gt_wallthickness_37_resolution_0.025.png
0.020508,0.734231,0.882163,sick_1_hector_mapping__map_resolution_0.05_map_size_192_map_update_distance_thresh_0.4_map_update_angle_thresh_1.3.pgm,gt_wallthickness_33_resolution_0.1.png
0.108853,0.863470,0.582959,hokuyo_1_gmapping__particles_20_minimumScore_0.3_map_update_interval_2.0_delta_0.1.pgm,gt_wallthickness_26_resolution_0.05.png
0.053743,0.877005,0.758426,sick_1_gmapping__particles_50_minimumScore_0.01_map_update_interval_2.0_delta_0.1.pgm,gt_wallthickness_28_resolution_0.025.png
0.116297,0.827321,0.528750,hokuyo_2_gmapping__particles_20_minimumScore_0.01_map_update_interval_8_delta_0.1.pgm,gt_wallthickness_20_resolution_0.025.png
0.074161,0.755845,0.775861,hokuyo_2_gmapping__particles_75_minimumScore_0.3_map_update_interval_8_delta_0.1.pgm,gt_wallthickness_39_resolution_0.05.png
0.098014,0.926285,0.784310,hokuyo_1_hector_mapping__map_resolution_0.1_map_size_96_map_update_distance_thresh_0.4_map_update_angle_thresh_0.9.pgm,gt_wallthickness_34_resolution_0.1.png
0.048701,0.905534,0.788093,sick_2_gmapping__particles_75_minimumScore_0.3_map_update_interval_8_delta_0.1.pgm,gt_wallthickness_28_resolution_0.025.png
0.045592,0.636550,0.769017,hokuyo_2_gmapping__particles_20_minimumScore_0.3_map_update_interval_5.0_delta_0.05.pgm,gt_wallthickness_29_resolution_0.05.png
0.113138,0.881798,0.552002,hokuyo_2_hector_mapping__map_resolution_0.1_map_size_96_map_update_distance_thresh_0.4_map_update_angle_thresh_0.5.pgm,gt_wallthickness_20_resolution_0.025.png
0.002978,0.492467,0.960250,sick_1_gmapping__particles_50_minimumScore_0.3_map_update_interval_8_delta_0.025.pgm,gt_wallthickness_20_resolution_0.025.png
0.024685,0.538519,0.820317,hokuyo_2_gmapping__particles_20_minimumScore_0.01_map_update_interval_2.0_delta_0.025.pgm,gt_wallthickness_34_resolution_0.025.png
0.038641,0.826862,0.648881,sick_2_gmapping__particles_20_minimumScore_0.0_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_11_resolution_0.025.png
0.017243,0.378631,0.655612,sick_2_hector_mapping__map_resolution_0.025_map_size_384_map_update_distance_thresh_0.1_map_update_angle_thresh_0.9.pgm,gt_wallthickness_11_resolution_0.025.png
0.053343,0.858513,0.622359,sick_2_hector_mapping__map_resolution_0.05_map_size_192_map_update_distance_thresh_0.4_map_update_angle_thresh_0.5.pgm,gt_wallthickness_15_resolution_0.05.png
0.053343,0.858513,0.622359,sick_2_hector_mapping__map_resolution_0.05_map_size_192_map_update_distance_thresh_0.4_map_update_angle_thresh_0.9.pgm,gt_wallthickness_15_resolution_0.05.png
0.016002,0.629828,0.840539,sick_1_hector_mapping__map_resolution_0.025_map_size_384_map_update_distance_thresh_0.4_map_update_angle_thresh_0.9.pgm,gt_wallthickness_20_resolution_0.025.png
0.092019,0.912507,0.453104,sick_1_gmapping__particles_75_minimumScore_0.01_map_update_interval_2.0_delta_0.1.pgm,gt_wallthickness_11_resolution_0.025.png
0.098274,0.918962,0.704332,hokuyo_2_hector_mapping__map_resolution_0.1_map_size_96_map_update_distance_thresh_0.7_map_update_angle_thresh_0.5.pgm,gt_wallthickness_29_resolution_0.05.png
0.030346,0.641940,0.830917,hokuyo_2_gmapping__particles_75_minimumScore_0.0_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_34_resolution_0.025.png
0.033075,0.645050,0.482803,hokuyo_1_gmapping__particles_50_minimumScore_0.3_map_update_interval_5.0_delta_0.025.pgm,gt_wallthickness_8_resolution_0.025.png
0.010323,0.694969,0.920410,sick_1_gmapping__particles_75_minimumScore_0.3_map_update_interval_2.0_delta_0.05.pgm,gt_wallthickness_26_resolution_0.05.png
0.105463,0.809477,0.549253,hokuyo_2_gmapping__particles_50_minimumScore_0.01_map_update_interval_5.0_delta_0.1.pgm,gt_wallthickness_20_resolution_0.025.png
